dia,mp10_0,mp25_0,nox_0,o3_0,i1
2019-07-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-10,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-11,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-12,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-13,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-14,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-07-15,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-07-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-07-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-23,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-24,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-07-25,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-07-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-07-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-07-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-01,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA
2019-08-02,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2019-08-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-08-09,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2019-08-10,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-08-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-08-12,N2 - Moderada,N1 - Boa,N2 - Moderada,N1 - Boa,ALTA
2019-08-13,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-ALTA
2019-08-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-17,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-18,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-08-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-08-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-08-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-08-30,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,BAIXA
2019-08-31,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-09-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-09-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-09-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-09-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-08,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-09-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-09-10,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,ALTA
2019-09-11,N2 - Moderada,N2 - Moderada,N1 - Boa,N3 - Ruim,MEDIA-ALTA
2019-09-12,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,MEDIA
2019-09-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-09-15,N1 - Boa,N2 - Moderada,N1 - Boa,N2 - Moderada,ALTA
2019-09-16,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,ALTA
2019-09-17,N2 - Moderada,N2 - Moderada,N1 - Boa,N3 - Ruim,ALTA
2019-09-18,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-09-19,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-09-20,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA
2019-09-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-09-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-09-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-09-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-09-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-10-01,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-10-02,N1 - Boa,N1 - Boa,N1 - Boa,N4 - Muito Ruim,ALTA
2019-10-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-10-04,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,MEDIA
2019-10-05,N1 - Boa,N2 - Moderada,N1 - Boa,N3 - Ruim,MEDIA
2019-10-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-10-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2019-10-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
